Title	URL	Assignees	Status	Sprint	Task Type	Nature	Epic	concerning	Estimate (h)	Actual (h)
SCRUM master		ethangraham2001	Done in "Sprint #3"							
SCRUM master		276746	Done in Sprint #5							
As a itinerary creator, I would l like to create an itinerary with tags describing the trip, so that people can filter my trips easily			🦑 Product Backlog							
As a user, I would like to have an app page dedicated to creating new Itineraries			🦑 Product Backlog							
As a user I would like to be able to see my finished itinerary after I am done creating it			🦑 Product Backlog							
As a user, I would like to be able to see the ratings that were given to a path, so that I can better judge the quality of itineraries			🦑 Product Backlog							
As a user, I would like to be able to see a map centered on me when I open the app, so that I can locate myself easier			🦑 Product Backlog							
As a user, I would like to change my profile photo, so that I can have a customise my experience			🦑 Product Backlog							
As I user, I would like to be able to search for an intinerary by pinning points that I would like to pass by, so that i have a planned trip going through places I am interested in			🦑 Product Backlog							
As a user, I would like to modify my profile with a profile picture and personal features, so that people looking for my itineraries have a better understanding of who I am.			🦑 Product Backlog							
As a user, I would like to see itinerarie clearly drawn on the map with details, in order to have a visual representation			🦑 Product Backlog							
As a user, I would like to see markers of the points of interest of my itinerary, so that I know what locations the itinerary visits and see if it coresponds to my likings			🦑 Product Backlog							
As a itinerary creator, I want to see what ratings were given to me on my trip, so that I can get feedback on the quality of my itinerary so that I know what is good and what I have to improve on			🦑 Product Backlog							
SCRUM master		imaneb942	Done in "Sprint #2"							
SCRUM master		YofiY	Done in Sprint #4							
SCRUM master		gunnm0	Done in "Sprint #6"							
As a user, i want to have a working app	https://github.com/WanderWise-Inc/app/issues/212		🐎 Sprint Backlog							
As a user I would like to be able to see when I'm starting my path	https://github.com/WanderWise-Inc/app/issues/247		🐎 Sprint Backlog							
As a dev, I would like to be able to mock the component of the app to perform e2e tests	https://github.com/WanderWise-Inc/app/issues/255		🐎 Sprint Backlog							
As a user, I would like to record my path and remember them for later on, so that I can choose to follow them at a later time	https://github.com/WanderWise-Inc/app/issues/256		🐎 Sprint Backlog							
SCRUM master		ThomasPFMuller	Done in "Sprint #7"							
Create Itinerary Backend: find location from searched name	https://github.com/WanderWise-Inc/app/issues/211	ThomasPFMuller	Done in "Sprint #7"	Sprint 7	🍑 Backend	🏎️ Sprint Task	🤖 technical	Itineraries	8	7
ISSUE#205 Create Itinerary UI: Preview Itinerary screen	https://github.com/WanderWise-Inc/app/issues/207	gunnm0	Done in "Sprint #7"	Sprint 7	🚪 Frontend	🏎️ Sprint Task	🤖 technical	Itineraries	4	6
ISSUE#208 Create Itinerary UI: navigation	https://github.com/WanderWise-Inc/app/issues/195	ThomasPFMuller	Done in "Sprint #7"	Sprint 7	🚪 Frontend	🏎️ Sprint Task	🤖 technical	Navigation	4	6
Create Itinerary Backend: Tags screen		YofiY	Done in "Sprint #7"	Sprint 7	🍑 Backend	🏎️ Sprint Task	🤖 technical	Itineraries	6	6
ISSUE#208 Create Itinerary UI: Tags screen		YofiY	Done in "Sprint #7"	Sprint 7	🚪 Frontend	🏎️ Sprint Task	🤖 technical	Itineraries	6	10
Create Itinerary: compute itinerary from locations		ethangraham2001	Done in "Sprint #7"	Sprint 7	🚪 Frontend	🏎️ Sprint Task	🤖 technical	Itineraries	8	8.5
ISSUE#208 Create Itinerary UI: preview Itinerary Banner	https://github.com/WanderWise-Inc/app/issues/210	gunnm0	Done in "Sprint #7"	Sprint 7	🚪 Frontend	🏎️ Sprint Task	🤖 technical	Itineraries	3	3
ISSUE#205 Add an itinerary to user's personal itineraries	https://github.com/WanderWise-Inc/app/issues/203	engjellismaili	Done in "Sprint #7"	Sprint 7	🍑 Backend	🏎️ Sprint Task	🤖 technical	Itineraries	6	4.5
ISSUE#205 Add test for the creation of an itinerary	https://github.com/WanderWise-Inc/app/issues/204	engjellismaili	Done in "Sprint #7"	Sprint 7	🍑 Backend	🏎️ Sprint Task	🤖 technical	Testing	6	8
Start PRD draft		imaneb942	Done in "Sprint #7"	Sprint 7		🏎️ Sprint Task	🧵 miscellaneous		2	4
ISSUE#208 Create Itinerary UI: map screen	https://github.com/WanderWise-Inc/app/issues/209	imaneb942	Done in "Sprint #7"	Sprint 7	🚪 Frontend	📜 User Story	🤖 technical	Itineraries	8	9
ISSUE#202 DI	https://github.com/WanderWise-Inc/app/issues/202	276746	Done in "Sprint #7"	Sprint 7	🍑 Backend	🏎️ Sprint Task	🤖 technical	Testing	12	14
Find a way to test with `performClick` on a Google map composable	https://github.com/WanderWise-Inc/app/issues/197		Sprint Tasks		🚪 Frontend	🏎️ Sprint Task	🤖 technical	Map	2	
Find the optimal zoom level of a created itinerary			Sprint Tasks	Sprint 8	🚪 Frontend	🏎️ Sprint Task	🤖 technical	Itineraries	4	
ISSUE#212 E2E test Itinerary creation logic		ThomasPFMuller	Sprint Tasks	Sprint 9		🏎️ Sprint Task	🤖 technical	Testing	4	
tagsScreen UI test		YofiY	Sprint Tasks	Sprint 9	🚪 Frontend	🏎️ Sprint Task	🤖 technical	Testing	4	
refactor UI to make it look more like the figma		gunnm0, imaneb942	Sprint Tasks	Sprint 9	🚪 Frontend	🏎️ Sprint Task	🤖 technical	Navigation	15	
Open google maps with itinerary to follow		YofiY	Sprint Tasks	Sprint 9	🍑 Backend	🏎️ Sprint Task	🤖 technical	Itineraries	8	
Create tests for Itinerary creation choose location step		ThomasPFMuller	👩🏽‍💻 In Development	Sprint 9	🚪 Frontend	🏎️ Sprint Task	🤖 technical	Itineraries	10	
SCRUM master		engjellismaili	Done in "Sprint #8"							
Implement interaction between backend and UI screen	https://github.com/WanderWise-Inc/app/issues/257	ThomasPFMuller	Done in "Sprint #8"	Sprint 8	🚪 Frontend	🏎️ Sprint Task	🤖 technical	Itineraries	6	6
